# Age_min    Age_max    SFR    err_SFR    SFR_times_area   err_SFR_times_area      Z       err_Z 
3.0   3.08    1.1157529318    0.607048601285    8243155.78781    4484860.44585    0.0105452569963    0.00687822919197 
3.08   3.16    0.925843257361    0.600258820795    6840107.68694    4434697.71112    0.0119568567183    0.0070163921644 
3.16   3.3    0.708361336701    0.52384425531    5233356.49504    3870148.74172    0.0130911575426    0.00694748738608 
3.3   3.4    0.552979993661    0.494482331753    4085402.87494    3653223.55765    0.0122435204281    0.00688824489934 
3.4   3.5    0.435671162711    0.454851891815    3218728.0572    3360434.82186    0.00938643572692    0.00631620373248 
3.5   3.6    0.364352156399    0.42518486987    2691824.95625    3141255.57824    0.00704012639346    0.00563181363603 
3.6   3.7    0.341212534187    0.438083385501    2520869.98465    3236549.50108    0.0056590574449    0.00438786605796 
3.7   3.8    0.384244744934    0.490967135821    2838790.92124    3627253.37476    0.00517557899733    0.00236956697385 
3.8   3.9    0.454171430619    0.511530590678    3355407.59094    3779175.68399    0.00505503539808    0.00192026617774 
3.9   4.0    0.504693785989    0.530484394635    3728665.5356    3919205.93113    0.00489379474199    0.00169020549532 
4.0   4.1    0.580116859071    0.564601030911    4285889.38301    4171258.81825    0.00477896257917    0.00175638945233 
4.1   4.2    0.640821046504    0.569472133719    4734370.45774    4207246.40848    0.00474148722788    0.00191310548232 
4.2   4.3    0.65476202626    0.63263248743    4837366.08041    4673873.58051    0.00475739715346    0.00213662811393 
4.3   4.4    0.668727583341    0.646860918612    4940543.27977    4778992.8874    0.00468883901078    0.00255376327075 
4.4   4.5    0.731096268984    0.667615661746    5401321.62719    4932328.42981    0.00472457383876    0.00287941515479 
4.5   4.6    0.764861507511    0.669347554936    5650778.39621    4945123.61499    0.00492158774373    0.00307590868256 
4.6   4.7    0.813743256414    0.691422764982    6011915.57981    5108214.73513    0.00505764010916    0.00341748546503 
4.7   4.8    0.953124082759    0.791882543904    7041657.76793    5850409.16229    0.00513257329634    0.00360005085119 
4.8   4.9    1.10940625137    0.834059258624    8196266.66562    6162009.71484    0.00547266465899    0.00388424149796 
4.9   5.0    1.18039839305    0.846467636531    8720754.89857    6253682.51196    0.00570310135773    0.0039752066536 
5.0   5.1    1.24202620618    0.855892138642    9176059.69773    6323310.50658    0.00590998180657    0.00408301570172 
5.1   5.2    1.2471412579    0.889524666698    9213849.57664    6571786.81383    0.00614164769164    0.00400997078882 
5.2   5.3    1.15155046318    0.902284646369    8507627.08746    6666057.23633    0.00647690593095    0.00398114974546 
5.3   5.4    0.967380426461    0.858481592515    7146983.29185    6342441.32943    0.00634717860634    0.00383379315995 
5.4   5.5    0.848673308726    0.822190158903    6269977.96502    6074321.09196    0.00584317831253    0.00370763219898 
5.5   5.6    0.748218691972    0.766641117358    5527821.67583    5663926.11089    0.00521601162797    0.00337324153751 
5.6   5.70000000001    0.692736649214    0.723942969098    5117921.6802    5348473.21991    0.00453414827078    0.00308078615944 
5.70000000001   5.92    0.669507101712    0.547301529908    4946302.34272    4043450.5215    0.00416861012391    0.00264533694565 
5.92   6.06    0.697829124555    0.557145735223    5155544.76537    4116179.27327    0.00383426381599    0.00225424098945 
6.06   6.20000000001    0.724227322316    0.572664421212    5350574.01464    4230830.95159    0.00350265640979    0.00200028872177 
6.20000000001   6.34    0.74986327466    0.572628707732    5539971.81313    4230567.10127    0.00340246345777    0.00166043946731 
6.34   6.48    0.799973409882    0.596316157528    5910184.28527    4405569.40985    0.00331107199964    0.00141411459599 
6.48   6.67999999999    0.836496268666    0.624757222529    6180014.28634    4615691.3131    0.00325215524304    0.00133988541531 
6.67999999999   6.84    0.872782570195    0.633332945024    6448096.60809    4679048.54435    0.00315356438608    0.00128959302096 
6.84   7.0    0.918586208666    0.637122646531    6786492.78597    4707046.76781    0.00303409035692    0.00121282184567 
7.0   7.16    0.981435046166    0.643160126719    7250818.48373    4751651.52603    0.00294458378299    0.00122987507557 
7.16   7.32000000001    1.02168713905    0.659485517068    7548199.9765    4872263.11674    0.00279247091594    0.00122896342669 
7.32000000001   7.6    1.10027262299    0.693769950312    8128787.63916    5125555.68382    0.00272724465639    0.00127306807845 
7.6   7.79999999999    1.12761306905    0.688756788263    8330778.19621    5088518.56334    0.00264011226813    0.00130201992237 
7.79999999999   8.0    1.1122411499    0.680797848392    8217210.82769    5029718.10726    0.00250616824965    0.0014055947612 
8.0   8.20000000001    1.09254481771    0.680367297449    8071694.7999    5026537.20726    0.00244386226107    0.0015287933577 
8.20000000001   8.40000000001    1.05745259515    0.694411271902    7812434.3048    5130293.75228    0.00236250148316    0.00162033200179 
8.40000000001   8.59999999999    0.970376071502    0.670473674062    7169115.04527    4953443.35597    0.00231731115845    0.00183047003452 
8.59999999999   8.79999999999    0.895292932945    0.646201244501    6614402.62595    4774119.23096    0.00229635029691    0.00202649318877 
